조사년도,학제명,시도명,층화학교ID,70%추출,학제유형명,휴직여자수석교사수,보직교사수,여자보직교사수,휴직보직교사수,휴직여자보직교사수,교사수,여자교사수,휴직교사수,휴직여자교사수,전문상담교사수,여자전문상담교사수,휴직전문상담교사수,휴직여자전문상담교사수,사서교사수,휴직수석교사수,여자수석교사수,수석교사수,휴직여자교감수,휴직교감수,여자교감수,교감수,휴직여자교장수,휴직교장수,여자교장수,교장수,유초중등교원_여자교원수,유초중등교원_교원수,여자사서교사수,휴직사서교사수,여자시간강사수,시간강사수,여자기간제교사수,기간제교사수,휴직여자영양교사수,휴직영양교사수,여자영양교사수,영양교사수,휴직여자보건교사수,휴직보건교사수,여자보건교사수,보건교사수,휴직여자실기교사수,휴직실기교사수,여자실기교사수,실기교사수,휴직여자사서교사수
2021,초등학교,경기,1203127368,Y,초등학교,0,0,0,0,0,37,34,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,37,41,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1204936052,Y,유치원,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1209096964,Y,초등학교,0,0,0,0,0,9,7,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,10,13,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1210660475,Y,유치원,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1213037065,Y,초등학교,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,일반중학교,경기,1213414931,Y,중학교,0,0,0,0,0,70,52,5,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,56,74,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,초등학교,경기,1221024005,Y,초등학교,0,0,0,0,0,47,43,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,46,51,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1222306504,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1224981085,Y,초등학교,0,0,0,0,0,38,37,3,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,41,42,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1227372962,Y,유치원,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1229278861,Y,초등학교,0,0,0,0,0,25,23,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,26,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,초등학교,경기,1230519546,Y,초등학교,0,0,0,0,0,51,43,3,3,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,47,57,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1240914090,Y,유치원,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1241708435,Y,초등학교,0,0,0,0,0,34,28,3,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,32,39,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1243908910,Y,유치원,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,일반고등학교,경기,1250428309,Y,일반고등학교,0,0,0,0,0,70,49,6,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,52,74,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,일반고등학교,경기,1250955970,Y,일반고등학교,0,0,0,0,0,79,47,4,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,51,85,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
2021,유치원,경기,1255031135,Y,유치원,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1256360541,Y,유치원,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
