"공시년도","학교급명","시도교육청명","층화학교ID","70%추출","공시학년명","성별명","5등급학생수","4등급학생수","3등급학생수","2등급학생수","1등급학생수"
"2021",고등학교,경기도교육청,"3934172318",Y,"2학년",여자,4,31,54,35,0
"2021",고등학교,경기도교육청,"4035008663",Y,"2학년",여자,4,42,99,25,1
"2021",고등학교,경기도교육청,"4116929898",Y,"2학년",여자,3,36,78,26,0
"2021",고등학교,경기도교육청,"4159280602",Y,"2학년",여자,0,5,20,4,0
"2021",고등학교,경기도교육청,"4249060518",Y,"2학년",여자,10,87,117,9,1
"2021",고등학교,경기도교육청,"4465048034",Y,"2학년",여자,2,58,74,27,0
"2021",고등학교,경기도교육청,"4597521727",Y,"2학년",여자,0,8,39,27,6
"2021",고등학교,경기도교육청,"4618095521",Y,"2학년",여자,4,23,81,22,1
"2021",고등학교,경기도교육청,"4632223601",Y,"2학년",여자,2,32,80,39,1
"2021",고등학교,경기도교육청,"4676020971",Y,"2학년",여자,62,47,13,4,3
"2021",고등학교,경기도교육청,"4775912874",Y,"2학년",여자,0,3,10,22,12
